year,color,country,eventType,text
1501,#8D2B1D,England,5,1501. Henry VII. grants patent for colonizing America.
1512,#325B67,Spain,7,1512. Ponce de Leon discovers Florida.
1517,#8D2B1D,England,7,1517. Sebastian Cabot's last voyage in the English service.
1520,#325B67,Spain,7,1520. Vasquez de Ayllon's Piracy on Chicora.
1523,#458867,France,7,1523. Verrazzani explores American coasts for France.
1525,#325B67,Spain,7,1525. Stephen Gomez tries to discover North West Passage to India for Spain.
1526,#325B67,Spain,7,1526. Pamphilo de Narvaez attempts to conquer Florida.
1534,#458867,France,7,1534. James Cartier discovers River St. Lawrence.
1537,#325B67,Spain,7,1537. Ferdinand de Soto attempts to conquer Florida.
1540,#458867,France,8,1540. Roberval and Cartier try in vain to colonize Canada.
1542,#325B67,Spain,8,1542. Ferdinand de Soto dies on the Mississippi.
1556,#8D2B1D,England,7,"1556. Adam was testing-------------------------------------------------------------------"
1562,#458867,France,7,1562. Coligny sends a Huguenot Colony to America.
1565,#325B67,Spain,0,"1565. St. Augustine, founded by the Spanish Melendez, who conquers the French colony."
1565,#325B67,Spain,1,"1565. St. Augustine, founded by the Spanish Melendez, who conquers the French colony."
1565,#325B67,Spain,4,"1565. St. Augustine, founded by the Spanish Melendez, who conquers the French colony."
1565,#325B67,Spain,7,"1565. St. Augustine, founded by the Spanish Melendez, who conquers the French colony."
1565,#458867,France,1,"1565. St. Augustine, founded by the Spanish Melendez, who conquers the French colony."
1565,#458867,France,2,"1565. St. Augustine, founded by the Spanish Melendez, who conquers the French colony."
1576,#8D2B1D,England,7,1576. Martin Frobisher renews English Explorations.
1578,#8D2B1D,England,7,1578. Sir Humphrey Gilbert's Voyage and Death.
1579,#8D2B1D,England,7,"1579. Sir Francis Drake discovers Oregon, and names it New Albion."
1584,#8D2B1D,England,7,1584. Sir Walter Raleigh gets patent to colonize.
1585,#8D2B1D,England,7,"1585. Sir W. R.'s unsuccessful colony at Roanoke, carried out by Sir Richard Grenville."
